Taisho,K_Number,Chinese_Title,Sanskrit_Title,Tibetan_Title,Tohoku_Numbers,Otani_Numbers,Nanjio,Mvy
1593,588,攝大乘論,Mahāyānasaṅgraha,Theg-pa chen-po bsdus-pa,4048,,1183,
1594,592,攝大乘論本,Mahāyānasaṅgraha,Theg-pa chen-po bsdus-pa,4048,,1247,
1595,590,攝大乘論釋,Mahāyānasaṅgrāhabhāṣya,Theg-pa chen-po bsdus-paḥi ḥgrel-pa,4050,,1171,
1596,593,攝大乘論釋論,Mahāyānasaṅgrahabhāṣya,Theg-pa chen-po bsdus-paḥi ḥgrel-pa,4050,,1171,
1597,594,攝大乘論釋,Mahāyānasaṅgrahabhāṣya,Theg-pa chen-po bsdus-paḥi ḥgrel-pa,4050,,1171,
1598,595,攝大乘論釋,Mahāyānasaṅgrahopanibandhana,Theg-pa chen-po bsdus-paḥi bśad-sbyar,4051,,1171,
1599,597,中邊分別論,Madhyāntavibhaṅgabhāṣya,Dbus daṅ mthaḥ rnam-par ḥbyed-paḥi ḥgrel-pa,4027,,1248,
1600,601,辯中邊論,Madhyāntavibhaṅgabhāṣya,Dbus daṅ mthaḥ rnam-par ḥbyed-paḥi ḥgrel-pa,4027,,1244,
1601,599,辯中邊論頌,Madhyāntavibhāṅgakārikā,Dbus daṅ mthaḥ rnam-par ḥbyed-paḥi tshig-leḥur-byas-pa,4021,,1245,
1604,586,大乘莊嚴經論,(Mahāyāna)sūtralāṃkāraśāstra,Theg-pa chen-po mdo-sdeḥi rgyan shes-bya-baḥi tshig-leḥur-byas-pa,4020;4026,,1190,
1605,572,大乘阿毘達磨集論,Abhidharmasamuccaya,Chos mṅon-pa kun-las-btus-pa,4049,,1199,
1606,576,大乘阿毗達磨雜集論,Abhidharmasamuccayavyākhyā,Mṅon-pa chos kun-nas-btus-paḥi rnam-par bśad-pa,4054,,1178,
1608,602,業成就論,Karmasiddhiprakaraṇa,Las grub-paḥi rab-tu-byed-pa,4062,,1222,
1609,603,大乘成業論,Karmasiddhiprakaraṇa,Las grub-paḥi rab-tu-byed-pa,4062,,1221,
1611,600,究竟一乘寶性論,(Ratnagotravibhāga)Mahāyānottaratantraśāstra,Theg-pa chen-po rgyud bla-maḥi bstan-bcos rnam-par bśad-pa,4024;4025,,1236,
1612,619,大乘五蘊論,Pañcaskandhaprakaraṇa.,Phuṅ-po lṅaḥi rab-tu-byed-pa.,4059,,1176,
1613,618,大乘廣五蘊論,Pañcaskandhaprakaraṇavaibhāṣya.,Phuṅ-po lṅaḥi rab-tu-byed-pa bye-brag-tu bśad-pa.,4066,,1175,
1614,644,大乘百法明門論本事分中略錄名數,Mahāyānaśatadharmaprakāśamukhaśāstra.,Theg-pa chen-poḥi chos brgya gsal-paḥi sgoḥi bstan-bcos.,4063,,1213,
1616,580,十八空論,Aṣṭadaśaśūnyatāśāstra,,,,1187,
1619,629,無相思塵論,Ālambanaparīkṣā.,Dmigs-pa brtag-pa.,4205;4206,,1172,
1620,643,解捲論,Hastavālaprakaraṇa.,Cha-śas-kyi yan-lag ces-bya-baḥi rab-tu-byed-pa.,3844;3845;3848;3849,,1255,
1621,637,掌中論,Hastavālaprakaraṇa.,Cha-śas-kyi yan-lag ces-bya-baḥi rab-tu-byed-pa.,3844;3845;3848;3849,,1256,
1624,628,觀所緣緣論,Ālambanaparīkṣā.,Dmigs-pa brtag-pa.,4205;4206,,1173,
1625,625,觀所緣論釋,(Ālaṁbanaparīkṣā),,,,1174,
1628,604,因明正理門論本,Nyāyamukha,,,,1224,
1629,606,因明正理門論,Nyāyamukha,,,,1223,
1630,607,因明入正理論,Nyāyapraveśa,Tshad-maḥi bstan-bcos rigs-pa-la ḥjug-pa,4208,,1216,
1631,630,廻諍論,Vigrahavyāvartanī.,Rtsod-pa bzlog-pa.,3828;3832,,1251,
1632,627,方便心論,Upāyahṛdaya.,,,,1257,
1633,626,如實論反質難品,Tarkaśāstra.,,,,1252,
1634,621,入大乘論,Mahāyānavatāra.,,,,1243,
1635,1475,大乘寶要義論,Sūtrasamuccaya.,Mdo kun-las btus-pa.,3934,,1311,
1636,1488,大乘集菩薩學論,Śikṣāsamuccaya.,Bslab-pa kun-las-btus-pa.,3939;3940;3941;4525;4549,,1298,
1637,1435,集大乘相論,Mahāyānalakṣaṇasamuccaya.,,3905,,1306,
1641,962,隨相論,Lakṣaṇānusāraśāstra.,,,,1280,
1642,1132,金剛針論,Vajrasūcīśāstra.,,,,1303,
1643,1492,尼乾子問無我義經,Nairātmyaparipṛccha(sūtra).,Bdag-med-pa dris-pa.,173,840,,
1646,966,成實論,Satyasiddhiśāstra.,,,,1274,
1647,974,四諦論,Catuḥsatyaśāstra.,,,,1261,
1651,646,十二因緣論,Pratītyasamutpādaśāstra.,,,,1211,
1656,617,寶行王正論,Rājaparikathāratnamālī.,Rgyal-po-la gtam-bya-ba rin-po-cheḥi phreṅ-ba.,4158;4388,,1253,
1660,585,菩提資糧論,Bodhisambhāraśāstra,,,,1181,
1662,1121,菩提行經,Bodhi(sattva)caryāvatāra.,Byaṅ-chub-sems-dpaḥi spyod-pa-la ḥjug-pa.,3871;4383,,1354,
1663,1205,菩提心觀釋,Bodhicittabhāvanā.,Byaṅ-chub-sems bsgom-pa.,3913,,872,
1664,1449,廣釋菩提心論,(Pūrva)Bhāvanākrama.,Bsgom-paḥi rim-pa.,3915,,1301,
1666,616,大乘起信論,Mahāyānaśraddhotpādaśāstra.,,,,1250,
1667,623,大乘起信論,Mahāyānaśraddhotpādaśāstra.,,,,1249,
1670a,1002,那先比丘經,Miliṇḍapañha.,,,,,
1672,1043,龍樹菩薩爲禪陀迦王說法要偈,Suhṛllekha.,Bśes-paḥi spriṅ-yig.,4182;4496,,1464,
1673,1037,勸發諸王要偈,Suhṛllekha.,Bśes-paḥi spriṅ-yig.,4182;4496,,1440,
1674,1036,龍樹菩薩勸誡王頌,Suhṛllekha.,Bśes-paḥi spriṅ-yig.,4182;4496,,1441,
1675,1115,讚法界頌,Dharmadhātustotra.,Chos-kyi dbyiṅs-su bstod-pa.,1118,,1070,
1677,1228c,三身梵讚,Kāyatrayastotra.,,,,1072,
1678,1225,佛三身讚,Kāyatrayastotra,Sku gsum-la bstod-pa.,1123,,1066,
1680,1024,一百五十讚佛頌,Śatapañcaśatikastotra.,Brgya lṅa-bcu-pa shes-bya-baḥi bstod-pa.,1147,,1456,
1682,1092,七佛讚唄伽他,Saptabuddhastotra.,,,,1065,
1683,1175,揵稚梵讚,Gaṇḍīstotragāthā.,Gaṇḍīḥi bstod-pa tshigs-su-bcad-pa.,1149,,1081,
1684,1228b,八大靈塔梵讚,Aṣṭamahāsthānacaityavandanāstava.,Gnas chen-po brgyad-kyi mchod rten-la phyag-ḥtshal-baḥi bstod-pa.,1168,,1071,
1685,1228a,八大靈塔名號經,Aṣṭamahāsthānacaityastotra.,Gnas chen-po brgyad-kyi mchod rten-la bstod-pa.,1133,,898,
1687,1493,事師法五十頌,Gurupañcāśikā.,Bla-ma lṅa-bcu-pa.,3721,,1080,
1809,923,僧羯磨,Dharmaguptabhikṣukarman.,,,,1128,
1810,924,尼羯磨,Ni chieh mo. (3 chüan),,,,1116,
1967,321,佛頂尊勝陀羅尼經,(Sarvadurgatipariśodhana)-uṣṇīṣavijayadhāraṇī(sūtra),,,,348,
2030,1046,大阿羅漢難提蜜多羅所說法住記,Nandimitrāvadāna.,Dgaḥ-baḥi bśes-gñen-gyi rtogs-pa-brjod-pa.,4146,,1466,
2031,977,異部宗輪論,Samayabhedoparacanacakra.,Gshuṅ-lugs-kyi bye-brag bkod-paḥi ḥkhor-lo.,4138,,1286,
2032,976,十八部論,Samayabhedoparacanacakra.,Gshuṅ-lugs-kyi bye-brag bkod-paḥi ḥkhor-lo.,4138,,1284,
2033,975,部執異論,Samayabhedoparacanacakra.,Gshuṅ-lugs-kyi bye-brag bkod-paḥi ḥkhor-lo.,4138,,1285,
2042,1017,阿育王傳,Aśokarājāvadāna.,,,,1459,
2043,1013,阿育王經,Aśokarājasūtra.,,4145,,1343,
2137,1032,金七十論,Sāṁkhyakārikā.,,,,1300,
2138,1045,勝宗十句義論,Vaiśeṣikadaśapadārthaśāstra.,,,,1295,
