Taisho,K_Number,Chinese_Title,Sanskrit_Title,Tibetan_Title,Tohoku_Numbers,Otani_Numbers,Nanjio,Mvy
258,1090,聖佛母小字般若波羅蜜多經,Alpākṣarā(prajñāpāramitā)sūtra.,Śes-rab-kyi-pha-rol-tu-phyin-pa yi-ge ñuṅ-ṅu.,22;530,159,797,
260,1485,開覺自性般若波羅蜜多經,Pañcaśatikāprajñāpāramitā(sūtra).,Śes-rab-kyi-pha-rol-tu-phyin-pa lṅa-brgya-pa.,15,738,,
262,116,妙法蓮華經,Saddharmapuṇḍarīkasūtra,Dam-paḥi chos pad-ma dkar-po,113,781,134,1335
263,117,正法華經,Saddharmapuṇḍarīkasūtra,Dam-paḥi chos pad-ma dkar-po,113,781,138,1336
264,118,添品妙法蓮華經,Saddharmapuṇḍarīkasūtra,Dam-paḥi chos pad-ma dkar-po,113,781,139,1335
265,115,薩曇分陀利經,Saddharmapuṇḍarīkasūtra,,,,136,
266,135,阿維越致遮經,Avaivartikacakrasūtra,Phyir-mi-ldog-paḥi ḥkhor-lo,240,906,150,1371
267,137,不退轉法輪經,Avaivartikacakrasūtra,Phyir-mi-ldog-paḥi ḥkhor-lo,240,906,157,1371
268,136,廣博嚴淨不退轉輪經,Avaivartikacakrasūtra,Phyir-mi-ldog-paḥi ḥkhor-lo,240,906,158,1371
270,416,大法鼓經,Mahābherihārakaparivarta(sūtra),Rṅa-bo-che chen-poḥi leḥu,222,888,440,
271,162,菩薩行方便境界通變化經,Bodhisattvagocaropāyaviṣayavikurvāṇanirdeśa(sūtra),Byaṅ-chub-sems-dpaḥi spyod-yul-gyi thabs-kyi yul-la rnam-par-ḥphrul-ba bstan-pa,146,813,178,
272,163,大薩遮尼乾子所說經,Bodhisattvagocaropāyaviṣayavikurvāṇanirdeśa(sūtra),Byaṅ-chub-sems-dpaḥi spyod-yul-gyi thabs-kyi yul-la rnam-par-ḥphrul-ba bstan-pa,146,813,,
273,521,金剛三昧經,Vajrasamādhi(sūtra),Rdo-rjeḥi tiṅ-ṅe-ḥdsin-gyi chos-kyi yi-ge,135,803,429,
274,147,濟諸方等學經,Sarvavaidalyasaṃgraha(sūtra),Rnam-par ḥthag-pa thams-cad bsdus-pa,227,893,252,1385
275,148,大乘方廣惣持經,Sarvavaidalyasaṃgrahasūtra,Rnam-par ḥthag-pa thams-cad bsdus-pa,227,893,253,
278,79,大方廣佛華嚴經,(Buddha)avataṃsakasūtra,Saṅs-rgyas phal-po-che shes-bya-ba śin-tu-rgyas-pa-chen-poḥi mdo,44;104;187;1095;4377;4404;0,716;761;772;854,87,1329
279,80,大方廣佛華嚴經,(Buddha)avataṃsakasūtra,Saṅs-rgyas phal-po-che shes-bya-ba śin-tu-rgyas-pa-chen-poḥi mdo,44;104;187;1095;4377;4404,716;761;772;854,88,1329
280,90,兜沙經,,,44,761,102,
281,94,菩薩本業經,,,44,761,100,
282,93,諸菩薩求佛本業經,,,,761,107,
283,92,菩薩十住行道品,,,44,761,108,
284,97,菩薩十住經,,,44,761,109,
285,89,漸備一切智德經,Daśabhūmikasūtra,,44,761,110,1350
286,98,十住經,Daśabhūmikasūtra,,44,761,105,
287,1388,十地經,Daśabhūmikasūtra.,,44,761,,
288,100,等目菩薩所問三昧經,,,44,761,111,
289,101,顯無邊佛土功德經,Tathāgatānāṃ Buddhakṣetraguṇoktadharmaparyāya(sūtra),De-bshin-gśegs-pa rnams-kyi saṅs-rgyas-kyi shiṅ-gi yon-tan brjod-paḥi chos-kyi-rnam-graṅs,104,772,95,
290,1217,較量一切佛刹功德經,Tathāgatānāṁbuddhakṣetraguṇoktadharmaparyāya(sūtra).,De-bshin-gśegs-pa rnams-kyi saṅs-rgyas-kyi shiṅ-gi yon-tan brjod-paḥi chos-kyi-rnam-graṅs.,104,772,881,
291,99,如來興顯經,Tathāgatotpattisambhavanirdeśa(sūtra),,44,761,92,1378
292,103,度世品經,,,44,761,104,
293,1262,大方廣佛華嚴經,Gaṇḍavyūhasūtra.,,44,761,89,1329
294,102,羅摩伽經,Gaṇḍavyūhasūtra,,44,761,106,1341
295,104,大方廣佛華嚴經入法界品,Gaṇḍavyūhasūtra,,44,761,101,1341
296,1029,文殊師利發願經,Bhadracaryapraṇidhāna.,Bzaṅ-po spyod-paḥi smon-lam-gyi rgyal-po.,44;1095;4377,716;761,1336,
297,1282,普賢菩薩行願讚,Bhadracaryāpraṇidhānarāja.,Bzaṅ-po spyod-paḥi smon-lam-gyi rgyal-po.,44;1095;4377,716;761,1142,
299,1095,大方廣惚持寶光明經,Ratnolkādhāraṇi(sūtra).,Dkon-mchog ta-la-laḥi gzuṅs.,145;847,472,785,1375
302,85,度諸佛境界智光嚴經,Tathāgataguṇajñānācintyaviṣayāvatāranirdeśa(sūtra),De-bshin-gśegs-paḥi yon-tan daṅ ye-śes bsam-gyis-mi-khyab-paḥi yul-la ḥjug-pa bstan-pa,185,852,85,
303,82,佛華嚴入如來德智不思議境界經,Tathāgataguṇajñānācintyaviṣayāvatāranirdeśa(sūtra),De-bshin-gśegs-paḥi yon-tan daṅ ye-śes bsam-gyis-mi-khyab-paḥi yul-la ḥjug-pa bstan-pa,185,852,91,
304,86,大方廣入如來智德不思議境界經,Tathāgataguṇajñānācintyaviṣayāvatāranirdeśa(sūtra),De-bshin-gśegs-paḥi yon-tan daṅ ye-śes bsam-gyis-mi-khyab-paḥi yul-la ḥjug-pa bstan-pa,185,852,93,
305,81,信力入印法問經,Śraddhābāladhānāavatāramudrā(sūtra),Dod-paḥi stobs bskyed-pa-la ḥjug-paḥi phyag-rgya,201,867,90,1397
310,22,大寶積經,(Mahā)ratnakūṭa,Dkon-brtsegs,45,760,23,
311,23,大方廣三戒經,Trisaṃvaranirdeśaparivarta(sūtra),Sdom-pa gsum bstan-paḥi leḥu,45,760,24,
312,1486,如來不思議祕密大乘經,Tathāgataguhyasūtra.,De-bshin-gśegs-paḥi gsaṅ-ba bsam-gyis-mi-khyab-par bstan-pa.,47,760,1043,
313,27,阿閦佛國經,Akṣobhyatathāgatasyavyūhasūtra,De-bshin-gśegs-pa mi-ḥkhrugs-paḥi bkod-pa,50,760,28,
314,28,大乘十法經,Daśadharma(ka)(sūtra),Chos-bcu-pa,53,760,29,
315,29,普門品經,Samantamukhaparivarta(sūtra),Kun-nas-sgoḥi leḥu,54,760,30,
316,1487,大乘菩薩藏正法經,Bodhisattvapiṭaka.,Byaṅ-chub-sems-dpaḥi-sde-snod.,56,760,1005,1330
317,30,胞胎經,Garbhāvakrāntinirdeśa(sūtra),Tshe-daṅ-ldan-pa dgaḥ-bo-la mṅal du ḥjug-pa bstan-pa,58,760,32,
318,31,文殊師利佛土嚴淨經,Mañjuśrībuddhakṣetraguṇavyūha(sūtra),Ḥjam-dpal-gyi saṅs-rgyas-kyi shiṅ-gi yon-tan bkod-pa,59,760,31,1381
319,1341,大聖文殊師利菩薩佛刹功德莊嚴經,Mañjuśrībuddhakṣetraguṇavyūhasūtra.,Ḥjam-dpal-gyi saṅs-rgyas-kyi shiṅ-gi yon-tan bkod-pa.,59,760,,1381
320,1496,父子合集經,Pitāputrasamāgama(sūtra).,Yab daṅ sras mjal-ba.,60,,,1333
321,1206,護國尊者所問大乘經,Rāṣṭrapālaparipṛcchā(sūtra).,Yul-ḥkhor-skyoṅ-gis shus-pa.,62,760,873,1361
322,32,法鏡經,Ugra(datta)paripṛcchā(sūtra),Khyim-bdag-drag-śul-can-gyis shus-pa,63,760,33,
323,33,郁迦羅越問菩薩行經,Ugra(datta)paripṛcchā(sūtra),Khyim-bdag-drag-śul-can-gyis shus-pa,63,760,34,1396
324,34,幻士仁賢經,Bhadramāyākāraparipṛcchā(sūtra),Sgyu-ma-mkhan bzaṅ-po luṅ-bstan-pa,65,760,35,
325,35,決定毗尼經,Upāliparipṛcchā(sūtra),Ḥdul-ba rnam-par-gtan-la-dbab-pa ñe-bar-ḥkhor gyis shus-pa,68,760,36,
326,1303,三十五佛名禮懺文,Upāliparipṛcchā.,Ḥdul-ba rnam-par-gtan-la-dbab-pa ñe-bar-ḥkhor gyis shus-pa.,68,760,979,
327,37,發覺淨心經,Adhyāśayasañcodana(sūtra),Lhag-paḥi-bsam-pa bskul-ba,69,760,37,
329,362,須賴經,Surataparipṛcchā(sūtra),ṅes pas shus- pa,71,760,44,
330,369,菩薩修行經,Vīradatta(gṛhapati)paripṛcchā(sūtra),Khyim-bdag-dpas-byin-gyis shus pa,72,760,389,1407
331,1468,無畏授所問大乘經,Vīradatta(gṛhapati)paripṛcchā(sūtra).,Khyim-bdag-dpas-byin-gyis shus-pa.,72,760,947,1407
332,38,優填王經,Udayanavatsarājaparipṛcchā(sūtra),Vatsaḥi-rgyal-po ḥchar-byed-kyis shus-pa,73,760,38,
333,1100,大乘日子王所問經,Udayanavatsarājaparipṛcchānāmaparivarta.,Batsaḥi-rgyal-po ḥchar-byed-kyis shus-pa.,73,760,788,
334,39,須摩提菩薩經,Sumatidārikāparipṛcchā(sūtra),Bu-mo blo-gros-bzaṅ-mos shus-pa,74,760,39,
336,36,須摩提經,Sumatidārikāparipṛcchā(sūtra),Bu-mo blo-gros-bzaṅ-mor shus-pa,74,760,39,
337,40,阿闍貰王女阿術達菩薩經,Aśokadattavyākaraṇa(sūtra),Mya-ṅan-med-kyis-byin-pa luṅ-bstan-pa,76,760,42,
338,41,離垢施女經,Vimaladattāparipṛcchā(sūtra),Dri-ma-med-kyis-byin-pas shus-pa,77,760,41,
339,42,得無垢女經,Vimaladattāparipṛcchā(sūtra),Dri-ma-med-kyis byin-pas shus-pa,77,760,45,
340,43,文殊師利所說不思議佛境界經,Acintyabuddhaviṣayanirdeśa(sūtra),Saṅs-rgyas-kyi yul bsam-kyis-mi-khyab-pa bstan-pa,79,760,46,
341,49,大乘顯識經,Bhadrapalāśreṣṭhiparipṛcchā(sūtra),Tshoṅ-dpon bzaṅ-skyoṅ-gis shus-pa,83,760,53,
342,44,如幻三昧經,Suṣṭhitamati(devaputra)paripṛcchā(sūtra),Lhaḥi-bu blo-gros-rab-gnas-kyis shus-pa,80,760,47,
343,46,太子刷護經,Siṃhaparipṛcchā(sūtra),Seṅ-ges shus-pa,81,760,49,1393
344,47,太子和休經,Siṃhaparipṛcchā(sūtra),Seṅ-ges shus-pa,81,760,50,1393
345,48,慧上菩薩問大善權經,(Upāyakauśalya)jñānottarabodhisattvaparipṛcchā(sūtra),Saṅs-rgyas thams-cad-kyi-gsaṅ chen thabs-la-mkhas-pa byaṅ-chub-sems-dpaḥ ye-śes dam-pas shu paḥi-leḥu,82;261,760,52,1345
346,1424,大方廣善巧方便經,(Upāyakauśalya)jñānottarabodhisattvaparipṛcchā(sūtra).,Saṅs-rgyas thams-cad-kyi gsaṅ chen thabs-la-mkhas-pa byaṅ-chub-sems-dpaḥ ye-śes dam-pas shus-paḥi leḥu.,82;261,760,926,1345
348,50,大乘方等要慧經,Maitreyaparipṛcchādharmāṣṭa(ka)(sūtra),Byams-pas shus-pa,85,760,54,
349,51,彌勒菩薩所問本願經,Maitreyaparipṛcchā(sūtra),Byams-pas shus-pa,86;149,760,55,
350,52,遺日摩尼寶經,Kāśyapaparivarta(sūtra),Ḥod-sruṅ-gi-leḥu,87,760,57,
351,53,摩訶衍寶嚴經,Kāśyapaparivarta(sūtra),Ḥod-sruṅ-gi-leḥu,87,760,58,
352,1123,大迦葉問大寶積正法經,Kāśyapaparivarta(sūtra).,Ḥod-sruṅ-gi-leḥu.,87,760,805,
353,54,勝鬘師子吼一乘大方便方廣經,Śrīmālā(devī)siṃhanādasūtra,Lha-mo dpal-phreṅ-gi-seṅ-geḥi sgra,92,760,69,
354,55,毗耶婆問經,Vyāsaparipṛcchā(sūtra),Draṅ-sroṅ-rgyas-pas shus-pa,93,760,60,1392
355,241,入法界體性經,Ratnakūṭasūtra,Rin-po-cheḥi mthaḥ,118,,51,1364
356,240,寶積三昧文殊師利菩薩問法身經,Ratnakūṭasūtra,Rin-po-cheḥi mthaḥ,118,,251,1364
357,188,如來莊嚴智慧光明入一切佛境界經,Sarvabuddhaviṣayāvatārajñānalokālaṃkārasūtra,Saṅs-rgyas thams-cad-kyi yul-la ḥjug-paḥi ye-śes snaṅ-baḥi rgyan,100,768,,1390
358,189,度一切諸佛境界智嚴經,Sarvabuddhaviṣayāvatārajñānalokālaṃkārasūtra,Saṅs-rgyas thams-cad-kyi yul-la ḥjug-paḥi ye-śes snaṅ-baḥi rgyan,100,768,56,1390
359,1489,大乘入諸佛境界智光明莊嚴經,Sarvabuddhaviṣayāvatārajñānālokālaṁkārasūtra.,Saṅs-rgyas thams-cad-kyi yul-la ḥjug-paḥi ye-śes snaṅ-baḥi rgyan.,100,768,1013,1390
360,26,無量壽經,Sukhāvatīvyūhasūtra,Ḥod-dpag-med-kyi bkod-pa,49,760,27,
361,24,無量淸淨平等覺經,Sukhāvatīvyūhasūtra,Ḥod-dpag-med-kyi bkod-pa,49,760,25,
362,25,阿彌陀三耶三佛薩樓佛壇過度人道經,Sukhāvatīvyūhasūtra,Ḥod-dpag-med-kyi bkod-pa,49,760,26,
363,1199,大乘無量壽莊嚴經,Sukhāvatīvyūha.,Ḥod-dpag-med-kyi bkod-pa.,49,760,863,
366,192,阿彌陀經,Sukhāvatī(amṛta)vyūhasūtra,Bde-ba-can-gyi bkod-pa,,783,200,
367,193,稱讚淨土佛攝受經,Sukhāvatīvyūha(sūtra),Bde-ba-can-gyi bkod-pa,115,783,199,
370,443,阿彌陀鼓音聲王陀羅尼經,Aparimitāyurjñānahṛdayadhāraṇī,Tshe daṅ ye-śes dpag-tu-med-paḥi sñiṅ-po,676;850,363;475,485,
371,376,觀世音菩薩授記經,Māyopamasamādhisūtra,Sgyu-ma lta-buḥi tiṅ-ṅe-ḥdsin,130,798,395,
372,1450,如幻三摩地無量印法門經,Māyopamasamādhisūtra.,Sgyu-ma lta-buḥi tiṅ-ṅe-ḥdsin.,130,798,977,
374,105,大般涅槃經,Mahāparinirvāṇasūtra,Yoṅs-su-mya-ṅan-las-ḥdas-pa chen-po,119;120,787;788,113,1370
375,1403,大般涅槃經,Mahāparinirvāṇasūtra.,Yoṅs-su-mya-ṅan-las-ḥdas-pa chen-po.,120,788,114,1370
376,106,大般泥洹經,Mahāparinirvāṇasūtra,Yoṅs-su-mya-ṅan-las-ḥdas-pa chen-po,120,788,120,1370
377,107,大般涅槃經後分,Mahāparinirvāṇasūtra,Yoṅs-su-mya-ṅan-las-ḥdas-pa chen-po,119,787,115,
378,108,方等般泥洹經,Caturdārakasamādhisūtra,Khyeḥu bshiḥi tiṅ-ṅe-ḥdsin,136,804,116,
379,109,四童子三昧經,Caturdārakasamādhisūtra,Khyeḥu bshiḥi tiṅ-ṅe-ḥdsin,136,804,121,
380,110,大悲經,Mahākaruṇāpuṇḍarīkasūtra,Sñiṅ-rje-chen-poḥi pad-ma dkar-po,111,779,117,1348
381,140,等集衆德三昧經,Sarvapuṇyasamuccayasamādhisūtra,Bsod-nams thams-cad bsdus-paḥi tiṅ-ṅe-ḥdsin,134,802,128,
382,141,集一切德三昧經,Sarvapuṇyasamuccayasamādhisūtra,Bsod-nams thams-cad bsdus-paḥi tiṅ-ṅe-ḥdsin,134,802,129,
383,373,摩訶摩耶經,Mahāmāyāsūtra,,,,382,
385,414,中陰經,Antarābhava(sūtra),,,,463,
387,164,大方等無想經,Mahāmeghasūtra,Sprin chen-po,,898,241,
390,483,佛臨涅槃記法住經,Mahāparinirvāṇasūtra,Yoṅs-su-mya-ṅan-las-ḥdas-pa chen-poḥi mdo,121,789,123,1370
397,56,大方等大集經,(Mahāvaipulyamahā)sannipātasūtra,,138;147;148;152;169;175;230;257;0,806;814;815;819;836;842;896;923,61,1353
398,72,大哀經,Tathāgatamahākaruṇānirdeśa(sūtra),De-bshin-gśegs-paḥi sñiṅ-rje chen-po ṅes-par bstan-pa,147,814,79,1351
399,74,寶女所問經,Mahāyānopadeśa(sūtra),Theg-pa chen-poḥi man-nag,169,836,80,1366
400,1481,海意菩薩所問淨印法門經,Sāgaramatiparipṛcchāsūtra.,Blo-gros rgya-mtshos shus-pa.,152,819,976,
402,78,寶星陀羅尼經,Ratnaketudhāraṇī(sūtra),(Ḥdus-pa chen-po)rin-po-che-tog-gi gzuṅs,138,806,84,1349
403,70,阿差末菩薩經,Akṣayamati(nirdeśa)sūtra,Blo-gros-mi-zod-pas bstan-pa,175,842,74,1344
404,1339,大集大虛空藏菩薩所問經,Gagaṇagañjaparipṛcchā(sūtra).,Nam-mkhaḥ-mdsod-kyis shus-pa.,148,815,,1336
405,62,虛空藏菩薩經,Ākāśagarbhasūtra,Nam-mkhaḥi sñiṅ-po,260,926,68,1342
407,63,虛空藏菩薩呪經,Ākāśagarbhasūtra,Nam-mkhaḥi sñiṅ-po,260,926,69,1342
408,61,虛空孕菩薩經,Ākāśagarbhasūtra,Nam-mkhaḥi sñiṅ-po,260,926,67,1342
410,58,大方廣十輪經,Daśacakrakṣitigarbha(sūtra),(Ḥdus-pa chen-po-las) saḥi-sñin-poḥi ḥkhor-lo bcu-pa,239,905,,
411,57,大乘大集地藏十輪經,Daśacakrakṣitigarbha(sūtra),Ḥdus-pa chen-po-las saḥi-sñin-poḥi ḥkhor-lo bcu-pa,239,905,64,
414,60,菩薩念佛三昧經,Bodhisattvabuddhānusmṛtisamādhi(sūtra),,,,71,
415,65,大方等大集經菩薩念佛三昧分,Bodhisattvabuddhānusmṛtisamādhi,,,,72,
416,66,大方等大集經賢護分,Bhadrapālasūtra,Da-ltar-gyi saṅs-rgyas mṅon-sum du bshugs-paḥi tiṅ-ṅe-ḥdsin,133,801,75,745
417,68,般若三昧經,Bhadrapālasūtra,Da-ltar-gyi saṅs-rgyas mṅon-sum du bshugs-paḥi tiṅ-ṅe-ḥdsin,133,801,73,745
418,67,般舟三昧經,Bhadrapālasūtra,Da-ltar-gyi saṅs-rgyas mṅon-sum du bshugs-paḥi tiṅ-ṅe-ḥdsin,133,801,73,745
419,69,拔陂菩薩經,Bhadrapālasūtra,Da-ltar-gyi saṅs-rgyas mṅon-sum du bshugs-paḥi tiṅ-ṅe-ḥdsin,133,801,76,745
420,75,自在王菩薩經,Vikurvāṇarājaparipṛcchā(sūtra),Rnam-par-ḥphrul-baḥi rgyal-pos shus-pa,167,834,82,1409
421,76,奮迅王問經,Vikurvāṇarājaparipṛcchā(sūtra),Rnam-par-ḥphrul-baḥi rgyal-pos shus-pa,167,834,83,1409
423,398,僧伽吒經,Saṅghāṭīsūtradharmaparyāya(sūtra),Zuṅ-gi mdoḥi chos-kyi-rnam-graṅs,102,770,449,
424,1412,大集會正法經,Sanghāṭīsūtradharmaparyāya.,Zuṅ-gi mdoḥi chos-kyi-rnam-graṅs.,102,770,972,
425,387,賢劫經,Bhadrakalpikasūtra,Bskal-ba bzaṅ po,94,762,403,
427,271,八吉祥神咒經,Aṣṭabuddhaka(sūtra),Saṅs-rgyas brgyad-pa,271,937,299,
428,276,八陽神咒經,Aṣṭabuddhaka(sūtra),Saṅs-rgyas brgyad pa,271,937,300,
429,493,八部佛名經,Maṅgalāṣṭaka(sūtra),Bkra-śis brgyad-pa,278,944,410,
430,286,八吉祥經,Aṣṭabuddhaka(sūtra),Saṅs-rgyas brgyad-pa,271;277,937;943,301,
431,282,八佛名號經,Aṣṭabuddhaka(sūtra),Saṅs-rgyas brgyad pa,271;277,937;943,302,
433,354,寶網經,Ratnajālīparipṛcchā(sūtra),Rin-chen-dra-ba-can-gyis shus-pa,163,830,385,
434,371,稱揚諸佛功德經,Kusumasañcayasūtra,Me-tog-gi tshogs,266,932,402,
435,464,滅十方冥經,Daśadigandhakāravidhvaṃsana(sūtra),Phyogs-bcuḥi mun-pa rnam-par-sel-ba,269,935,515,
437,1145,大乘寶月童子問法經,Ratnacandraparipṛcchā(sūtra).,Rin-chen-zla-bas shus-pa.,164,831,826,
438,1479,大乘大方廣佛冠經,Buddhamakuṭasūtra.,Saṅs-rgyas-kyi dbu-rgyan.,274,940,968,
443,394,五千五百佛名神呪除障滅罪經,Buddhanāmasahasrapañcaśatacatustripañcadaśa(sūtra),Saṅs-rgyas-kyi mtshan lṅa-stoṅ-bshi-brgya-lṅa-bcu-rtsa-gsum-pa,262,928,408,
449,176,藥師如來本願經,Bhaiṣajyagurupūrvapraṇidhānaviśeṣavistara(sūtra),Bcom-ldan-ḥdas sman-gyi bla bai-dūryaḥi ḥod-kyi sṅon-gyi smon-lam-gyi khyad-par rgyas-pa,503;504,135;136,170,
450,177,藥師琉璃光如來本願功德經,Bhaiṣajyaguruvaiḍūryaprabhāsapūrvapraṇidhānaviśeṣavistara(sūtra),Bcom-ldan-ḥdas sman-gyi bla bai-dūryaḥi ḥod-kyi sṅon-gyi smon-lam-gyi khyad-par rgyas-pa,504,136,171,1404
451,178,藥師琉璃光七佛本願巧德經,Saptatathāgatapūrvapraṇidhānaviśeṣavistara(sūtra),De-bshin-gśegs-pa bdun-gyi sṅon-gyi smon-lam-gyi khyad-par rgyas-pa,503;504,135;136,172,
452,194,觀彌勒菩薩上生兜率天經,,,199,,,
454,198,彌勒下生成佛經,Maitreyavyākaraṇa(sūtra),,,,205,1403
455,199,彌勒下生成佛經,Maitreyavyākaraṇa(sūtra),,,,207,1403
457,196,彌勒來時經,Maitreyavyākaraṇa(sūtra),,,,206,1403
460,537,文殊師利淨律經,Paramārthasaṃvṛtisatyanirdeśa(sūtra),Kun-rdsob daṅ don-dam-paḥi bden-pa bstan-pa,179,846,1084,1368
461,149,文殊師利現寶藏經,Ratnakāraṇḍa(ka)(vyūha)sūtra,Dkon-mchog-gi za-ma-tog,117,785,168,1408
462,150,大方廣寶篋經,Ratnakāraṇḍa(ka)(vyūha)sūtra,Dkon-mchog-gi za-ma-tog,117,785,169,1408
464,222,文殊師利問菩提經,Gayāśīrṣasūtra,Ga-ya mgoḥi ri,109,777,238,
465,223,伽耶山頂經,Gayāśīrṣasūtra,Ga-ya mgoḥi ri,109,777,239,
466,224,象頭精舍經,Gayāśīrṣasūtra,Ga-ya mgoḥi ri,109,777,240,
467,225,大乘伽耶山頂經,Gayāśīrṣasūtra,Ga-ya mgoḥi ri,109,777,241,
468,412,文殊師利問經,Mañjuśrīparipṛcchā(sūtra),,,,442,
470,265,文殊師利巡行經,Mañjuśrīvihārasūtra,Ḥjam-dpal gnas-pa,196,863,286,1369
471,267,文殊尸利行經,Mañjuśrīvihārasūtra,Ḥjam-dpal gnas-pa,196,863,287,
472,1099,大乘善見變化文殊師利問法經,Bodhipakṣanirdeśa(sūtra).,Byaṅ-chub-kyi phyogs bstan-pa.,178,845,792,1382
473,1211,妙吉祥菩薩所問大乘法螺經,Mañjuśrīparipṛcchā(sūtra).,Ḥjam-dpal-gyis dris-pa.,172,839,995,
474,120,維摩詰經,Vimalakīrtinirdeśasūtra,Dri-ma-med-par-grags-pas bstan-pa,176,843,147,1340
475,119,維摩詰所說經,Vimalakīrtinirdeśasūtra,Dri-ma-med-par-grags-pas bstan-pa,176,843,146,
476,121,說無垢稱經,Vimalakīrtinirdeśasūtra,Dri-ma-med-par-grags-pas bstan-pa,176,843,149,1340
477,122,大方等頂王經,Vimalakīrtinirdeśasūtra,,176,,145,
478,123,大乘頂王經,Vimalakīrtinirdeśasūtra,Dri-ma-med-par-grags-pas bstan-pa,,,144,
479,124,善思童子經,Vimalakīrtinirdeśasūtra,,,,181,
480,415,月上女經,Candrottarādārikāparipṛcchāsūtra,Bu-mo zla-mchog luṅ-bstan pa,191,858,441,
481,145,持人菩薩經,Lokadharaparipṛcchā(sūtra),Ḥjig-rten-ḥdsin-gyis yoṅs-su dris-pa,174,841,165,
482,146,持世經,Lokadharaparipṛcchā(sūtra),Ḥjig-rten-ḥdsin-gyis yoṅs-su dris-pa,174,841,166,
484,381,不思議光菩薩所說經,Acintyaprabhāsanirdeśa,Khyeḥu snaṅ-ba bsam-gyis mi khyab-pas bstan pa,103,771,396,
486,497,師子莊嚴王菩薩請問經,Maṇḍalāṣṭasūtra,Dkyil-ḥkhor brgyad ces-bya-baḥi chos kyi-rnam-graṅs,105,773,462,
488,1227,寶授菩薩菩提行經,Bodhisattvacaryānirdeśa(sūtra).,Byaṅ-chub-sems-dpaḥi spyod-pa bstan-pa.,184,851,917,
489,1476,除蓋障菩薩所問經,Ratnameghasūtra.,Dkon-mchog sprin.,231,897,964,1337
514,260,諫王經,Rājāvavādaka(sūtra),Rgyal-po-la gdams-pa,221,,248,1429
515,258,如來示教勝軍王經,Rājāvavādaka(sūtra),Rgyal-po-la gdams-pa,221,887,249,1429
516,1417,勝軍王所問經,Rājāvavādakasūtra.,Rgyal-po-la gdams-pa.,221,887,988,1429
533,359,菩薩生地經,Kṣemaṅkāraparipṛcchā(sūtra),Bde-byed-kyis shus pa,165,832,378,
534,219,月光童子經,Candraprabhakumāra(sūtra),,,,230,
535,234,申日經,Candraprabhakumāra(sūtra),,,,,
536,220,申日兒本經,Candraprabhakumāra(sūtra),,,,231,
540,505,樹提伽經,Jyotiṣka(sūtra),,,,453,
544,854,辯意長者子經,Pratibhānamatiparipṛcchā(sūtra).,Spobs-paḥi blo-gros-kyis shus-pa.,151,818,769,
545,221,德護長者經,Śrīguptasūtra,Dpal-sbas,217,883,232,
549,1437,光明童子因綠經,Jyotiṣkāvadāna.,,,,939,
550,1483,金色童子因緣經,Suvarṇavarṇāvadāna.,Gser-mdog-gi rtogs-pa-brjod-pa.,4144,,,
551,759,摩鄧女經,Mātangīsūtra.,,,,643,
552,762,摩登女解形中六事經,Mātangīsūtra.,,,,644,
559,216,老女人經,Mahālalikāparipṛcchā(sūtra),Bgres-mos shus-pa,171,838,224,
560,218,老母女六英經,Mahālalikāparipṛcchā(sūtra),Bgres-mos shus-pa,171,838,226,
561,217,老母經,Mahālalikāparipṛcchā(sūtra),Bgres-mos shus-pa,171,838,225,
562,231,無垢賢女經,Strīvivartavyākaraṇa(sūtra),,,,235,
563,232,腹中聽經,Strīvivartavyākaraṇa(sūtra),,,,236,
564,233,轉女身經,Strīvivartavyākaraṇa (sūtra),,,,237,
565,204,順權方便經,Sirīvivartavyākaraṇa(sūtra),Bud-med ḥgyur-ba luṅ-bstan-pa,190,857,214,
566,205,藥瓔珞莊嚴方便品經,Sirīvivartavyākaraṇa(sūtra),Bud-med ḥgyur-ba luṅ-bstan-pa,190,857,215,
567,356,梵志女首意經,Śrīmatībrāmaṇīparipṛcchā(sūtra),Bram-ze-mo dpal-ldan-mas shus pa,170,837,342,
568,489,有德女所問大乘經,Śrīmatībrāhmāṇiparipṛcchā(sūtra),Bram-ze-mo dpal-ldan-mas shus pa,170,837,343,
573,492,差摩婆帝授記經,Kṣemavatīvyākaraṇa(sūtra),Bde-ldan-ma luṅ-bstan-pa,192,859,461,
575,264,大方等修多羅王經,Bhavasaṅkrāntisūtra,Srid-pa ḥpho-ba,226,,285,1379
576,266,轉有經,Bhavasaṅkrāntisūtra,Srid-pa ḥpho-ba,226,892,284,1379
577,494,大乘流轉諸有經,Bhavasaṅkrāntisūtra,Srid-pa ḥpho-ba,226,892,526,1379
579,500,優婆夷淨行法門經,Upasikābrahmacāryadharmaparyāyasūtra,,,,506,
584,869,長爪梵志請問經,Dīrghanakhaparivrājakaparipṛcchā(sūtra).,Kun-tu-rgyu-pa sen-riṅs-kyis shus-pa.,342,1009,734,
585,142,持心梵天所問經,Brahmaviśeṣacintīparipṛcchā(sūtra),Tshaṅs-pa khyad-par-sems-kyi shus-pa,160,827,197,1367
586,143,思梵天所問經,Brahmaviśeṣacintīparipṛcchā(sūtra),Tshaṅs-pa khyad-par-sems-kyi shus-pa,16,827,190,
